video_name,tag
train/leon queretaro (no falta).avi,No Falta
train/mazatlan juarez (falta).avi,Falta
train/mazatlan tijuana (no falta).avi,No Falta
train/No Falta (1).avi,No Falta
train/No Falta (10).avi,No Falta
train/No Falta (11).avi,No Falta
train/No Falta (12).avi,No Falta
train/No Falta (13).avi,No Falta
train/No Falta (14).avi,No Falta
train/No Falta (15).avi,No Falta
train/No Falta (16).avi,No Falta
train/No Falta (17).avi,No Falta
train/No Falta (18).avi,No Falta
train/No Falta (19).avi,No Falta
train/No Falta (2).avi,No Falta
train/No Falta (20).avi,No Falta
train/No Falta (21).avi,No Falta
train/No Falta (22).avi,No Falta
train/No Falta (23).avi,No Falta
train/No Falta (24).avi,No Falta
train/No Falta (25).avi,No Falta
train/No Falta (26).avi,No Falta
train/No Falta (27).avi,No Falta
train/No Falta (28).avi,No Falta
train/No Falta (29).avi,No Falta
train/No Falta (3).avi,No Falta
train/No Falta (30).avi,No Falta
train/No Falta (31).avi,No Falta
train/No Falta (32).avi,No Falta
train/No Falta (33).avi,No Falta
train/No Falta (34).avi,No Falta
train/No Falta (35).avi,No Falta
train/No Falta (4).avi,No Falta
train/No Falta (5).avi,No Falta
train/No Falta (6).avi,No Falta
train/No Falta (7).avi,No Falta
train/No Falta (8).avi,No Falta
train/No Falta (9).avi,No Falta
train/No falta 1.avi,No Falta
train/No falta 10.avi,No Falta
train/No falta 11.avi,No Falta
train/No falta 12.avi,No Falta
train/No falta 13.avi,No Falta
train/No falta 14.avi,No Falta
train/No falta 15.avi,No Falta
train/No falta 16.avi,No Falta
train/No falta 17.avi,No Falta
train/No falta 18.avi,No Falta
train/No falta 19.avi,No Falta
train/No falta 2.avi,No Falta
train/No falta 20.avi,No Falta
train/No falta 21.avi,No Falta
train/No falta 22.avi,No Falta
train/No falta 23.avi,No Falta
train/No falta 24.avi,No Falta
train/No Falta 25.avi,No Falta
train/No Falta 26.avi,No Falta
train/No Falta 27.avi,No Falta
train/No Falta 28.avi,No Falta
train/No Falta 29.avi,No Falta
train/No falta 3.avi,No Falta
train/No falta 30.avi,No Falta
train/No falta 4.avi,No Falta
train/No falta 5.avi,No Falta
train/No falta 6.avi,No Falta
train/No falta 7.avi,No Falta
train/No falta 8.avi,No Falta
train/No falta 9.avi,No Falta
train/No falta inglaterra (1).avi,No Falta
train/No falta inglaterra (10).avi,No Falta
train/No falta inglaterra (11).avi,No Falta
train/No falta inglaterra (12).avi,No Falta
train/No falta inglaterra (13).avi,No Falta
train/No falta inglaterra (14).avi,No Falta
train/No falta inglaterra (15).avi,No Falta
train/No falta inglaterra (16).avi,No Falta
train/No falta inglaterra (17).avi,No Falta
train/No falta inglaterra (18).avi,No Falta
train/No falta inglaterra (19).avi,No Falta
train/No falta inglaterra (2).avi,No Falta
train/No falta inglaterra (20).avi,No Falta
train/No falta inglaterra (3).avi,No Falta
train/No falta inglaterra (4).avi,No Falta
train/No falta inglaterra (5).avi,No Falta
train/No falta inglaterra (6).avi,No Falta
train/No falta inglaterra (7).avi,No Falta
train/No falta inglaterra (8).avi,No Falta
train/No falta inglaterra (9).avi,No Falta
train/pachuca mazatlan (no falta).avi,No Falta
train/pachuca mazatlan (no falta.).avi,No Falta
train/pachuca pumas (falta).avi,Falta
train/pachuca pumas (falta..).avi,Falta
train/pachuca pumas (no falta).avi,No Falta
train/pumas america (falta).avi,Falta
train/pumas america (falta.).avi,Falta
train/Pumas america (no falta).avi,No Falta
train/pumas america (no falta.).avi,No Falta
train/pumas america (no falta..).avi,No Falta
train/pumas america (no falta...).avi,No Falta
train/pumas atlas (falta..).avi,Falta
train/pumas leon (falta).avi,Falta
train/pumas leon (no falta).avi,No Falta
train/pumas leon (no falta.).avi,No Falta
train/queretaro jaurez (no falta..).avi,No Falta
train/queretaro juarez (falta).avi,Falta
train/queretaro juarez (falta.).avi,Falta
train/queretaro juarez (no falta).avi,No Falta
train/queretaro juarez (no falta.).avi,No Falta
train/santos america (no falta).avi,No Falta
train/santos pachuca (no falta).avi,No Falta
train/santos pachuca (no falta.).avi,No Falta
train/v_Falta_g02_c01.avi,Falta
train/v_Falta_g02_c02.avi,Falta
train/v_Falta_g03_c01.avi,Falta
train/v_Falta_g04_c01.avi,Falta
train/v_Falta_g04_c04.avi,Falta
train/v_Falta_g05_c01.avi,Falta
train/v_Falta_g05_c02.avi,Falta
train/v_Falta_g05_c08.avi,Falta
train/v_Falta_g05_c14.avi,Falta
train/v_Falta_g05_c18.avi,Falta
train/v_Falta_g05_c19.avi,Falta
train/v_Falta_g06_c01.avi,Falta
train/v_Falta_g08_c01.avi,Falta
train/v_Falta_g08_c02.avi,Falta
train/v_Falta_g08_c03.avi,Falta
train/v_Falta_g09_c01.avi,Falta
train/v_Falta_g10_c02.avi,Falta
train/v_Falta_g10_c03.avi,Falta
train/v_Falta_g10_c04.avi,Falta
train/v_Falta_g12_c01.avi,Falta
train/v_Falta_g13_c02.avi,Falta
train/v_Falta_g14_c01.avi,Falta
train/v_Falta_g14_c02.avi,Falta
train/v_Falta_g15_c01.avi,Falta
train/v_Falta_g16_c01.avi,Falta
train/v_NoFalta_g010_c01.avi,No Falta
train/v_NoFalta_g01_c01.avi,No Falta
train/v_NoFalta_g01_c02.avi,No Falta
train/v_NoFalta_g05_c02.avi,No Falta
train/v_NoFalta_g05_c04.avi,No Falta
train/v_NoFalta_g05_c05.avi,No Falta
train/v_NoFalta_g05_c06.avi,No Falta
train/v_NoFalta_g05_c07.avi,No Falta
train/v_NoFalta_g05_c09.avi,No Falta
train/v_NoFalta_g05_c10.avi,No Falta
train/v_NoFalta_g05_c11.avi,No Falta
train/v_NoFalta_g05_c12.avi,No Falta
train/v_NoFalta_g05_c13.avi,No Falta
train/v_NoFalta_g05_c14.avi,No Falta
train/v_NoFalta_g05_c15.avi,No Falta
train/v_NoFalta_g05_c16.avi,No Falta
train/v_NoFalta_g05_c17.avi,No Falta
train/v_NoFalta_g05_c18.avi,No Falta
train/v_NoFalta_g05_c20.avi,No Falta
train/v_NoFalta_g05_c21.avi,No Falta
train/v_NoFalta_g05_c22.avi,No Falta
train/v_NoFalta_g05_c23.avi,No Falta
train/v_NoFalta_g05_c24.avi,No Falta
train/v_NoFalta_g05_c25.avi,No Falta
train/v_NoFalta_g07_c01.avi,No Falta
train/v_NoFalta_g07_c02.avi,No Falta
train/v_NoFalta_g11_c01.avi,No Falta
train/v_NoFalta_g12_c01.avi,No Falta
train/v_NoFalta_g17_c01.avi,No Falta
train/v_NoFalta_g17_c02.avi,No Falta
train/v_NoFalta_g18_c01.avi,No Falta
train/v_NoFalta_g18_c02.avi,No Falta
train/v_NoFalta_g18_c03.avi,No Falta
train/v_NoFalta_g18_c04.avi,No Falta
train/v_NoFalta_g18_c05.avi,No Falta
train/xx.avi,Desconocido
